transaction_id,transaction_date,year,month,month_name,day_name,source_system,source_type,channel_id,sales_channel,customer_id,customer_segment,product_id,product_name,product_category,location_id,city,province,quantity,unit_price,gross_sales,promo_name,voucher_code,discount_rate,discount_amount,net_sales,payment_method,order_status
TRX00011,2025-01-04,2025,1,January,Saturday,Excel Cabang,Excel,C001,POS Kasir,CU0175,Reguler,P008,Roti Bakar Keju,Snack,L001,Bekasi,Jawa Barat,1,20000,20000,Tidak Ada,,0.0,0,20000,QRIS,Selesai
TRX00012,2025-01-04,2025,1,January,Saturday,API Marketplace,API,C005,Tokopedia,CU0003,Reguler,P010,Paket Hemat UMKM,Paket,L004,Depok,Jawa Barat,5,45000,225000,Payday Sale,PAYDAY15,0.15,33750,191250,QRIS,Selesai
TRX00013,2025-01-04,2025,1,January,Saturday,API Marketplace,API,C006,Website,CU0117,Baru,P009,Keripik Singkong,Snack,L003,Jakarta Selatan,DKI Jakarta,1,16000,16000,Tidak Ada,,0.0,0,0,E-Wallet,Refund
TRX00014,2025-01-04,2025,1,January,Saturday,API Marketplace,API,C001,POS Kasir,CU0051,Baru,P003,Teh Lemon,Minuman,L005,Tangerang,Banten,3,15000,45000,Tidak Ada,,0.0,0,45000,Transfer Bank,Selesai
TRX00015,2025-01-04,2025,1,January,Saturday,API Marketplace,API,C005,Tokopedia,CU0093,Loyal,P009,Keripik Singkong,Snack,L001,Bekasi,Jawa Barat,2,16000,32000,Tidak Ada,,0.0,0,32000,E-Wallet,Selesai
TRX00016,2025-01-04,2025,1,January,Saturday,Excel Cabang,Excel,C001,POS Kasir,CU0137,Loyal,P004,Nasi Ayam Geprek,Makanan,L005,Tangerang,Banten,2,25000,50000,Voucher Ongkir,ONGKIR5,0.05,2500,47500,Transfer Bank,Selesai
TRX00017,2025-01-04,2025,1,January,Saturday,Aplikasi Kasir Digital,POS,C003,GoFood,CU0055,Reseller,P009,Keripik Singkong,Snack,L002,Jakarta Timur,DKI Jakarta,3,16000,48000,Tidak Ada,,0.0,0,48000,Transfer Bank,Selesai
TRX00018,2025-01-05,2025,1,January,Sunday,Aplikasi Kasir Digital,POS,C004,GrabFood,CU0017,Reguler,P011,Paket Kopi dan Snack,Paket,L003,Jakarta Selatan,DKI Jakarta,2,35000,70000,Tidak Ada,,0.0,0,70000,Kartu Debit,Selesai
TRX00019,2025-01-05,2025,1,January,Sunday,Excel Cabang,Excel,C001,POS Kasir,CU0018,Reseller,P010,Paket Hemat UMKM,Paket,L002,Jakarta Timur,DKI Jakarta,2,45000,90000,Tidak Ada,,0.0,0,90000,E-Wallet,Selesai
TRX00020,2025-01-05,2025,1,January,Sunday,Database POS,Database,C006,Website,CU0147,Reguler,P004,Nasi Ayam Geprek,Makanan,L003,Jakarta Selatan,DKI Jakarta,1,25000,25000,Tidak Ada,,0.0,0,25000,Transfer Bank,Selesai
TRX00021,2025-01-05,2025,1,January,Sunday,Excel Cabang,Excel,C001,POS Kasir,CU0106,Reguler,P007,Brownies Cokelat,Snack,L002,Jakarta Timur,DKI Jakarta,2,30000,60000,Tidak Ada,,0.0,0,60000,QRIS,Selesai
TRX00022,2025-01-05,2025,1,January,Sunday,Database POS,Database,C001,POS Kasir,CU0028,Baru,P011,Paket Kopi dan Snack,Paket,L001,Bekasi,Jawa Barat,2,35000,70000,Voucher Ongkir,ONGKIR5,0.05,3500,66500,Transfer Bank,Selesai
TRX00023,2025-01-05,2025,1,January,Sunday,API Marketplace,API,C002,ShopeeFood,CU0020,Reguler,P003,Teh Lemon,Minuman,L004,Depok,Jawa Barat,2,15000,30000,Payday Sale,PAYDAY15,0.15,4500,25500,Kartu Debit,Selesai
TRX00024,2025-01-05,2025,1,January,Sunday,Excel Cabang,Excel,C001,POS Kasir,CU0043,Reguler,P011,Paket Kopi dan Snack,Paket,L005,Tangerang,Banten,4,35000,140000,Voucher Ongkir,ONGKIR5,0.05,7000,133000,COD,Selesai
TRX00025,2025-01-05,2025,1,January,Sunday,Database POS,Database,C002,ShopeeFood,CU0117,Baru,P007,Brownies Cokelat,Snack,L001,Bekasi,Jawa Barat,1,30000,30000,Tidak Ada,,0.0,0,30000,Kartu Debit,Selesai
TRX00026,2025-01-05,2025,1,January,Sunday,API Marketplace,API,C002,ShopeeFood,CU0139,Baru,P008,Roti Bakar Keju,Snack,L002,Jakarta Timur,DKI Jakarta,1,20000,20000,Tidak Ada,,0.0,0,20000,E-Wallet,Selesai
TRX00027,2025-01-06,2025,1,January,Monday,Excel Cabang,Excel,C002,ShopeeFood,CU0048,Baru,P009,Keripik Singkong,Snack,L005,Tangerang,Banten,4,16000,64000,Tidak Ada,,0.0,0,64000,QRIS,Selesai
TRX00028,2025-01-06,2025,1,January,Monday,Aplikasi Kasir Digital,POS,C001,POS Kasir,CU0159,Baru,P004,Nasi Ayam Geprek,Makanan,L004,Depok,Jawa Barat,1,25000,25000,Tidak Ada,,0.0,0,25000,Kartu Debit,Selesai
TRX00029,2025-01-06,2025,1,January,Monday,API Marketplace,API,C002,ShopeeFood,CU0172,Reguler,P006,Mie Ayam Jamur,Makanan,L003,Jakarta Selatan,DKI Jakarta,1,24000,24000,Tidak Ada,,0.0,0,24000,COD,Selesai
TRX00030,2025-01-06,2025,1,January,Monday,Aplikasi Kasir Digital,POS,C004,GrabFood,CU0019,Reguler,P002,Es Kopi Latte,Minuman,L001,Bekasi,Jawa Barat,5,22000,110000,Bundling,BUNDLE12,0.12,13200,96800,Kartu Debit,Selesai
TRX00031,2025-01-06,2025,1,January,Monday,API Marketplace,API,C002,ShopeeFood,CU0140,Loyal,P006,Mie Ayam Jamur,Makanan,L001,Bekasi,Jawa Barat,1,24000,24000,Tidak Ada,,0.0,0,0,Kartu Debit,Refund
TRX00032,2025-01-07,2025,1,January,Tuesday,Excel Cabang,Excel,C003,GoFood,CU0030,Loyal,P011,Paket Kopi dan Snack,Paket,L005,Tangerang,Banten,4,35000,140000,Tidak Ada,,0.0,0,140000,Kartu Debit,Selesai
TRX00033,2025-01-07,2025,1,January,Tuesday,API Marketplace,API,C002,ShopeeFood,CU0068,Reguler,P005,Nasi Goreng Spesial,Makanan,L005,Tangerang,Banten,1,27000,27000,Diskon Produk,DISKON10,0.1,2700,0,E-Wallet,Dibatalkan
TRX00034,2025-01-08,2025,1,January,Wednesday,API Marketplace,API,C004,GrabFood,CU0034,Reguler,P002,Es Kopi Latte,Minuman,L006,Bogor,Jawa Barat,1,22000,22000,Tidak Ada,,0.0,0,22000,E-Wallet,Selesai
TRX00035,2025-01-08,2025,1,January,Wednesday,Database POS,Database,C006,Website,CU0177,Reseller,P008,Roti Bakar Keju,Snack,L005,Tangerang,Banten,2,20000,40000,Tidak Ada,,0.0,0,40000,Kartu Debit,Selesai
TRX00036,2025-01-09,2025,1,January,Thursday,Database POS,Database,C002,ShopeeFood,CU0011,Loyal,P010,Paket Hemat UMKM,Paket,L005,Tangerang,Banten,1,45000,45000,Tidak Ada,,0.0,0,45000,Transfer Bank,Selesai
TRX00037,2025-01-09,2025,1,January,Thursday,Aplikasi Kasir Digital,POS,C003,GoFood,CU0159,Loyal,P011,Paket Kopi dan Snack,Paket,L001,Bekasi,Jawa Barat,3,35000,105000,Tidak Ada,,0.0,0,105000,Transfer Bank,Selesai
TRX00038,2025-01-09,2025,1,January,Thursday,CSV Marketplace,CSV,C001,POS Kasir,CU0106,Loyal,P003,Teh Lemon,Minuman,L004,Depok,Jawa Barat,2,15000,30000,Tidak Ada,,0.0,0,30000,Transfer Bank,Selesai
TRX00039,2025-01-09,2025,1,January,Thursday,Excel Cabang,Excel,C004,GrabFood,CU0118,Reguler,P012,Dimsum Ayam,Makanan,L001,Bekasi,Jawa Barat,3,28000,84000,Tidak Ada,,0.0,0,84000,Transfer Bank,Selesai
TRX00040,2025-01-10,2025,1,January,Friday,Excel Cabang,Excel,C003,GoFood,CU0165,Reguler,P007,Brownies Cokelat,Snack,L003,Jakarta Selatan,DKI Jakarta,4,30000,120000,Tidak Ada,,0.0,0,120000,Kartu Debit,Selesai
TRX00041,2025-01-10,2025,1,January,Friday,CSV Marketplace,CSV,C003,GoFood,CU0010,Baru,P001,Kopi Susu Gula Aren,Minuman,L001,Bekasi,Jawa Barat,2,18000,36000,Bundling,BUNDLE12,0.12,4320,31680,COD,Selesai
TRX00042,2025-01-10,2025,1,January,Friday,Aplikasi Kasir Digital,POS,C005,Tokopedia,CU0049,Baru,P006,Mie Ayam Jamur,Makanan,L004,Depok,Jawa Barat,1,24000,24000,Payday Sale,PAYDAY15,0.15,3600,20400,COD,Selesai
TRX00043,2025-01-11,2025,1,January,Saturday,API Marketplace,API,C006,Website,CU0032,Loyal,P007,Brownies Cokelat,Snack,L001,Bekasi,Jawa Barat,2,30000,60000,Diskon Produk,DISKON10,0.1,6000,54000,E-Wallet,Selesai
TRX00044,2025-01-11,2025,1,January,Saturday,Database POS,Database,C003,GoFood,CU0050,Reguler,P011,Paket Kopi dan Snack,Paket,L004,Depok,Jawa Barat,2,35000,70000,Tidak Ada,,0.0,0,70000,COD,Selesai
TRX00045,2025-01-11,2025,1,January,Saturday,API Marketplace,API,C005,Tokopedia,CU0078,Baru,P003,Teh Lemon,Minuman,L005,Tangerang,Banten,1,15000,15000,Voucher Ongkir,ONGKIR5,0.05,750,14250,COD,Selesai
TRX00046,2025-01-11,2025,1,January,Saturday,Database POS,Database,C003,GoFood,CU0131,Reguler,P010,Paket Hemat UMKM,Paket,L006,Bogor,Jawa Barat,1,45000,45000,Diskon Produk,DISKON10,0.1,4500,40500,Transfer Bank,Selesai
TRX00047,2025-01-11,2025,1,January,Saturday,Aplikasi Kasir Digital,POS,C006,Website,CU0061,Reguler,P005,Nasi Goreng Spesial,Makanan,L005,Tangerang,Banten,1,27000,27000,Voucher Ongkir,ONGKIR5,0.05,1350,25650,Transfer Bank,Selesai
TRX00048,2025-01-11,2025,1,January,Saturday,CSV Marketplace,CSV,C001,POS Kasir,CU0019,Reguler,P003,Teh Lemon,Minuman,L001,Bekasi,Jawa Barat,5,15000,75000,Diskon Produk,DISKON10,0.1,7500,67500,Kartu Debit,Selesai
TRX00049,2025-01-12,2025,1,January,Sunday,Excel Cabang,Excel,C002,ShopeeFood,CU0028,Loyal,P007,Brownies Cokelat,Snack,L002,Jakarta Timur,DKI Jakarta,3,30000,90000,Payday Sale,PAYDAY15,0.15,13500,76500,Transfer Bank,Selesai
TRX00050,2025-01-12,2025,1,January,Sunday,Excel Cabang,Excel,C004,GrabFood,CU0032,Reguler,P012,Dimsum Ayam,Makanan,L005,Tangerang,Banten,2,28000,56000,Flash Sale,FLASH20,0.2,11200,44800,COD,Selesai
TRX00051,2025-01-12,2025,1,January,Sunday,Database POS,Database,C003,GoFood,CU0130,Reguler,P009,Keripik Singkong,Snack,L005,Tangerang,Banten,2,16000,32000,Diskon Produk,DISKON10,0.1,3200,28800,Kartu Debit,Selesai
TRX00052,2025-01-12,2025,1,January,Sunday,Database POS,Database,C004,GrabFood,CU0164,Baru,P003,Teh Lemon,Minuman,L006,Bogor,Jawa Barat,1,15000,15000,Tidak Ada,,0.0,0,15000,Kartu Debit,Selesai
TRX00053,2025-01-12,2025,1,January,Sunday,Excel Cabang,Excel,C004,GrabFood,CU0086,Reguler,P004,Nasi Ayam Geprek,Makanan,L003,Jakarta Selatan,DKI Jakarta,2,25000,50000,Tidak Ada,,0.0,0,50000,Kartu Debit,Selesai
TRX00054,2025-01-12,2025,1,January,Sunday,CSV Marketplace,CSV,C004,GrabFood,CU0105,Reguler,P003,Teh Lemon,Minuman,L002,Jakarta Timur,DKI Jakarta,2,15000,30000,Tidak Ada,,0.0,0,30000,COD,Selesai
TRX00055,2025-01-12,2025,1,January,Sunday,Aplikasi Kasir Digital,POS,C004,GrabFood,CU0148,Reguler,P004,Nasi Ayam Geprek,Makanan,L004,Depok,Jawa Barat,4,25000,100000,Tidak Ada,,0.0,0,0,QRIS,Dibatalkan
TRX00056,2025-01-12,2025,1,January,Sunday,Aplikasi Kasir Digital,POS,C004,GrabFood,CU0155,Loyal,P005,Nasi Goreng Spesial,Makanan,L004,Depok,Jawa Barat,2,27000,54000,Tidak Ada,,0.0,0,54000,COD,Selesai
TRX00057,2025-01-13,2025,1,January,Monday,API Marketplace,API,C004,GrabFood,CU0043,Loyal,P008,Roti Bakar Keju,Snack,L001,Bekasi,Jawa Barat,2,20000,40000,Voucher Ongkir,ONGKIR5,0.05,2000,0,Transfer Bank,Refund
TRX00058,2025-01-13,2025,1,January,Monday,Aplikasi Kasir Digital,POS,C004,GrabFood,CU0165,Reguler,P009,Keripik Singkong,Snack,L001,Bekasi,Jawa Barat,2,16000,32000,Tidak Ada,,0.0,0,32000,COD,Selesai
TRX00059,2025-01-13,2025,1,January,Monday,CSV Marketplace,CSV,C003,GoFood,CU0098,Baru,P005,Nasi Goreng Spesial,Makanan,L004,Depok,Jawa Barat,2,27000,54000,Tidak Ada,,0.0,0,54000,COD,Selesai
TRX00060,2025-01-13,2025,1,January,Monday,Aplikasi Kasir Digital,POS,C001,POS Kasir,CU0058,Reguler,P002,Es Kopi Latte,Minuman,L004,Depok,Jawa Barat,1,22000,22000,Bundling,BUNDLE12,0.12,2640,19360,QRIS,Selesai
TRX00061,2025-01-13,2025,1,January,Monday,Aplikasi Kasir Digital,POS,C001,POS Kasir,CU0172,Baru,P004,Nasi Ayam Geprek,Makanan,L002,Jakarta Timur,DKI Jakarta,1,25000,25000,Tidak Ada,,0.0,0,25000,Transfer Bank,Selesai
TRX00062,2025-01-14,2025,1,January,Tuesday,Aplikasi Kasir Digital,POS,C005,Tokopedia,CU0042,Reseller,P006,Mie Ayam Jamur,Makanan,L002,Jakarta Timur,DKI Jakarta,4,24000,96000,Diskon Produk,DISKON10,0.1,9600,86400,QRIS,Selesai
TRX00063,2025-01-14,2025,1,January,Tuesday,Database POS,Database,C006,Website,CU0020,Reguler,P005,Nasi Goreng Spesial,Makanan,L005,Tangerang,Banten,1,27000,27000,Diskon Produk,DISKON10,0.1,2700,24300,Transfer Bank,Selesai
TRX00064,2025-01-14,2025,1,January,Tuesday,Excel Cabang,Excel,C005,Tokopedia,CU0011,Reguler,P005,Nasi Goreng Spesial,Makanan,L006,Bogor,Jawa Barat,3,27000,81000,Tidak Ada,,0.0,0,81000,COD,Selesai
TRX00065,2025-01-14,2025,1,January,Tuesday,API Marketplace,API,C006,Website,CU0126,Baru,P002,Es Kopi Latte,Minuman,L005,Tangerang,Banten,1,22000,22000,Tidak Ada,,0.0,0,22000,E-Wallet,Selesai
TRX00066,2025-01-15,2025,1,January,Wednesday,CSV Marketplace,CSV,C004,GrabFood,CU0070,Reguler,P012,Dimsum Ayam,Makanan,L002,Jakarta Timur,DKI Jakarta,2,28000,56000,Bundling,BUNDLE12,0.12,6720,49280,Kartu Debit,Selesai
TRX00067,2025-01-15,2025,1,January,Wednesday,Aplikasi Kasir Digital,POS,C006,Website,CU0023,Baru,P008,Roti Bakar Keju,Snack,L004,Depok,Jawa Barat,1,20000,20000,Payday Sale,PAYDAY15,0.15,3000,17000,COD,Selesai
TRX00068,2025-01-15,2025,1,January,Wednesday,Database POS,Database,C005,Tokopedia,CU0084,Baru,P008,Roti Bakar Keju,Snack,L005,Tangerang,Banten,1,20000,20000,Tidak Ada,,0.0,0,20000,Transfer Bank,Selesai
TRX00069,2025-01-15,2025,1,January,Wednesday,Aplikasi Kasir Digital,POS,C003,GoFood,CU0003,Reguler,P005,Nasi Goreng Spesial,Makanan,L003,Jakarta Selatan,DKI Jakarta,2,27000,54000,Tidak Ada,,0.0,0,54000,Transfer Bank,Selesai
TRX00070,2025-01-15,2025,1,January,Wednesday,Aplikasi Kasir Digital,POS,C004,GrabFood,CU0166,Loyal,P012,Dimsum Ayam,Makanan,L004,Depok,Jawa Barat,3,28000,84000,Diskon Produk,DISKON10,0.1,8400,75600,COD,Selesai
TRX00071,2025-01-16,2025,1,January,Thursday,CSV Marketplace,CSV,C004,GrabFood,CU0122,Reguler,P005,Nasi Goreng Spesial,Makanan,L002,Jakarta Timur,DKI Jakarta,1,27000,27000,Tidak Ada,,0.0,0,27000,E-Wallet,Selesai
TRX00072,2025-01-16,2025,1,January,Thursday,API Marketplace,API,C003,GoFood,CU0065,Baru,P012,Dimsum Ayam,Makanan,L005,Tangerang,Banten,2,28000,56000,Tidak Ada,,0.0,0,56000,Transfer Bank,Selesai
TRX00073,2025-01-17,2025,1,January,Friday,Database POS,Database,C006,Website,CU0135,Reguler,P004,Nasi Ayam Geprek,Makanan,L002,Jakarta Timur,DKI Jakarta,1,25000,25000,Tidak Ada,,0.0,0,25000,QRIS,Selesai
TRX00074,2025-01-17,2025,1,January,Friday,CSV Marketplace,CSV,C003,GoFood,CU0033,Baru,P005,Nasi Goreng Spesial,Makanan,L002,Jakarta Timur,DKI Jakarta,1,27000,27000,Diskon Produk,DISKON10,0.1,2700,24300,QRIS,Selesai
TRX00075,2025-01-17,2025,1,January,Friday,Database POS,Database,C006,Website,CU0073,Reguler,P012,Dimsum Ayam,Makanan,L002,Jakarta Timur,DKI Jakarta,1,28000,28000,Tidak Ada,,0.0,0,28000,COD,Selesai
TRX00076,2025-01-18,2025,1,January,Saturday,Database POS,Database,C001,POS Kasir,CU0176,Baru,P008,Roti Bakar Keju,Snack,L001,Bekasi,Jawa Barat,2,20000,40000,Tidak Ada,,0.0,0,40000,Transfer Bank,Selesai
TRX00077,2025-01-18,2025,1,January,Saturday,Excel Cabang,Excel,C002,ShopeeFood,CU0153,Loyal,P005,Nasi Goreng Spesial,Makanan,L001,Bekasi,Jawa Barat,2,27000,54000,Tidak Ada,,0.0,0,54000,Transfer Bank,Selesai
TRX00078,2025-01-18,2025,1,January,Saturday,API Marketplace,API,C004,GrabFood,CU0079,Reguler,P007,Brownies Cokelat,Snack,L004,Depok,Jawa Barat,3,30000,90000,Bundling,BUNDLE12,0.12,10800,79200,QRIS,Selesai
TRX00079,2025-01-18,2025,1,January,Saturday,CSV Marketplace,CSV,C002,ShopeeFood,CU0062,Baru,P012,Dimsum Ayam,Makanan,L001,Bekasi,Jawa Barat,1,28000,28000,Tidak Ada,,0.0,0,28000,QRIS,Selesai
TRX00080,2025-01-18,2025,1,January,Saturday,Aplikasi Kasir Digital,POS,C006,Website,CU0074,Loyal,P007,Brownies Cokelat,Snack,L004,Depok,Jawa Barat,2,30000,60000,Tidak Ada,,0.0,0,60000,COD,Selesai
TRX00081,2025-01-19,2025,1,January,Sunday,CSV Marketplace,CSV,C006,Website,CU0166,Baru,P011,Paket Kopi dan Snack,Paket,L005,Tangerang,Banten,1,35000,35000,Tidak Ada,,0.0,0,35000,E-Wallet,Selesai
TRX00082,2025-01-19,2025,1,January,Sunday,API Marketplace,API,C002,ShopeeFood,CU0074,Reguler,P002,Es Kopi Latte,Minuman,L001,Bekasi,Jawa Barat,2,22000,44000,Voucher Ongkir,ONGKIR5,0.05,2200,41800,COD,Selesai
TRX00083,2025-01-19,2025,1,January,Sunday,Aplikasi Kasir Digital,POS,C003,GoFood,CU0154,Baru,P012,Dimsum Ayam,Makanan,L004,Depok,Jawa Barat,2,28000,56000,Tidak Ada,,0.0,0,56000,COD,Selesai
TRX00084,2025-01-19,2025,1,January,Sunday,Excel Cabang,Excel,C001,POS Kasir,CU0148,Reguler,P010,Paket Hemat UMKM,Paket,L003,Jakarta Selatan,DKI Jakarta,1,45000,45000,Diskon Produk,DISKON10,0.1,4500,0,QRIS,Refund
TRX00085,2025-01-19,2025,1,January,Sunday,Excel Cabang,Excel,C005,Tokopedia,CU0133,Reguler,P011,Paket Kopi dan Snack,Paket,L003,Jakarta Selatan,DKI Jakarta,3,35000,105000,Tidak Ada,,0.0,0,105000,E-Wallet,Selesai
TRX00086,2025-01-19,2025,1,January,Sunday,Database POS,Database,C006,Website,CU0105,Reguler,P010,Paket Hemat UMKM,Paket,L004,Depok,Jawa Barat,4,45000,180000,Tidak Ada,,0.0,0,180000,QRIS,Selesai
TRX00087,2025-01-20,2025,1,January,Monday,API Marketplace,API,C004,GrabFood,CU0141,Baru,P007,Brownies Cokelat,Snack,L006,Bogor,Jawa Barat,2,30000,60000,Tidak Ada,,0.0,0,60000,QRIS,Selesai
TRX00088,2025-01-20,2025,1,January,Monday,Aplikasi Kasir Digital,POS,C004,GrabFood,CU0139,Reguler,P006,Mie Ayam Jamur,Makanan,L001,Bekasi,Jawa Barat,3,24000,72000,Tidak Ada,,0.0,0,72000,QRIS,Selesai
TRX00089,2025-01-20,2025,1,January,Monday,Database POS,Database,C004,GrabFood,CU0141,Baru,P006,Mie Ayam Jamur,Makanan,L005,Tangerang,Banten,3,24000,72000,Tidak Ada,,0.0,0,72000,E-Wallet,Selesai
TRX00090,2025-01-20,2025,1,January,Monday,Excel Cabang,Excel,C001,POS Kasir,CU0062,Loyal,P012,Dimsum Ayam,Makanan,L004,Depok,Jawa Barat,5,28000,140000,Diskon Produk,DISKON10,0.1,14000,126000,E-Wallet,Selesai
TRX00091,2025-01-21,2025,1,January,Tuesday,Database POS,Database,C001,POS Kasir,CU0040,Reguler,P002,Es Kopi Latte,Minuman,L002,Jakarta Timur,DKI Jakarta,4,22000,88000,Diskon Produk,DISKON10,0.1,8800,79200,E-Wallet,Selesai
TRX00092,2025-01-21,2025,1,January,Tuesday,Database POS,Database,C004,GrabFood,CU0099,Baru,P005,Nasi Goreng Spesial,Makanan,L004,Depok,Jawa Barat,1,27000,27000,Tidak Ada,,0.0,0,27000,Kartu Debit,Selesai
TRX00093,2025-01-21,2025,1,January,Tuesday,Database POS,Database,C003,GoFood,CU0069,Loyal,P003,Teh Lemon,Minuman,L001,Bekasi,Jawa Barat,1,15000,15000,Voucher Ongkir,ONGKIR5,0.05,750,14250,E-Wallet,Selesai
TRX00094,2025-01-21,2025,1,January,Tuesday,Database POS,Database,C006,Website,CU0124,Reguler,P010,Paket Hemat UMKM,Paket,L005,Tangerang,Banten,3,45000,135000,Tidak Ada,,0.0,0,135000,Kartu Debit,Selesai
TRX00095,2025-01-21,2025,1,January,Tuesday,CSV Marketplace,CSV,C003,GoFood,CU0099,Baru,P007,Brownies Cokelat,Snack,L004,Depok,Jawa Barat,5,30000,150000,Tidak Ada,,0.0,0,150000,COD,Selesai
TRX00096,2025-01-22,2025,1,January,Wednesday,CSV Marketplace,CSV,C004,GrabFood,CU0129,Reseller,P012,Dimsum Ayam,Makanan,L004,Depok,Jawa Barat,2,28000,56000,Tidak Ada,,0.0,0,56000,E-Wallet,Selesai
TRX00097,2025-01-22,2025,1,January,Wednesday,Database POS,Database,C005,Tokopedia,CU0168,Reseller,P008,Roti Bakar Keju,Snack,L001,Bekasi,Jawa Barat,1,20000,20000,Tidak Ada,,0.0,0,20000,QRIS,Selesai
TRX00098,2025-01-22,2025,1,January,Wednesday,Database POS,Database,C005,Tokopedia,CU0173,Loyal,P005,Nasi Goreng Spesial,Makanan,L003,Jakarta Selatan,DKI Jakarta,2,27000,54000,Payday Sale,PAYDAY15,0.15,8100,0,COD,Dibatalkan
TRX00099,2025-01-22,2025,1,January,Wednesday,Aplikasi Kasir Digital,POS,C004,GrabFood,CU0162,Reguler,P011,Paket Kopi dan Snack,Paket,L006,Bogor,Jawa Barat,1,35000,35000,Tidak Ada,,0.0,0,0,E-Wallet,Refund
TRX00100,2025-01-22,2025,1,January,Wednesday,Excel Cabang,Excel,C004,GrabFood,CU0026,Reguler,P012,Dimsum Ayam,Makanan,L001,Bekasi,Jawa Barat,3,28000,84000,Diskon Produk,DISKON10,0.1,8400,0,E-Wallet,Dibatalkan
TRX00101,2025-01-23,2025,1,January,Thursday,API Marketplace,API,C003,GoFood,CU0136,Reguler,P006,Mie Ayam Jamur,Makanan,L001,Bekasi,Jawa Barat,1,24000,24000,Tidak Ada,,0.0,0,24000,Transfer Bank,Selesai
TRX00102,2025-01-23,2025,1,January,Thursday,Aplikasi Kasir Digital,POS,C004,GrabFood,CU0150,Baru,P002,Es Kopi Latte,Minuman,L005,Tangerang,Banten,2,22000,44000,Tidak Ada,,0.0,0,44000,COD,Selesai
TRX00103,2025-01-24,2025,1,January,Friday,Database POS,Database,C001,POS Kasir,CU0041,Baru,P005,Nasi Goreng Spesial,Makanan,L006,Bogor,Jawa Barat,4,27000,108000,Diskon Produk,DISKON10,0.1,10800,0,E-Wallet,Refund
TRX00104,2025-01-24,2025,1,January,Friday,API Marketplace,API,C004,GrabFood,CU0099,Loyal,P005,Nasi Goreng Spesial,Makanan,L006,Bogor,Jawa Barat,2,27000,54000,Tidak Ada,,0.0,0,54000,QRIS,Selesai
TRX00105,2025-01-24,2025,1,January,Friday,API Marketplace,API,C005,Tokopedia,CU0169,Reguler,P010,Paket Hemat UMKM,Paket,L003,Jakarta Selatan,DKI Jakarta,5,45000,225000,Tidak Ada,,0.0,0,225000,QRIS,Selesai
